Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2021-04-17,61965.7825980957,63225.0939171782,63520.3253743417,60033.5346667838
BTC,2021-04-18,60574.4447282273,61444.2325029806,62534.0284980254,59802.8892670907
BTC,2021-04-19,56850.8301656893,60191.5254059278,60531.9888482489,52148.9835438328
BTC,2021-04-20,56224.1015877117,56335.3891413899,57609.3681180061,54449.2453296336
BTC,2021-04-21,56608.7697483925,55723.2272628006,57121.9439016309,53442.8516601945
BTC,2021-04-22,54144.4274760563,56508.1512444248,56809.1463930716,53913.850515382
BTC,2021-04-23,51965.0595594061,53830.8238641807,55471.076371955,50500.7318617182
BTC,2021-04-24,50669.1443821756,51714.0739702794,52111.1850681793,47467.9120320183
BTC,2021-04-25,50733.7695036374,51217.1723295026,51253.4429476246,48932.1588139391
BTC,2021-04-26,48542.9522029844,50177.2374032254,50668.6590249368,47105.5930680066
BTC,2021-04-27,53558.7078446195,49139.2309545102,54398.5927883666,48854.5813736666
BTC,2021-04-28,55123.8619814166,54059.4740685049,55398.0741517103,53351.1153983396
BTC,2021-04-29,54591.5153255436,55086.9387053242,56458.6358118116,53915.3548335028
BTC,2021-04-30,53260.2953411529,54893.8716690807,55224.9079561952,52403.7436077167
BTC,2021-05-01,57302.6464240813,53598.8795025724,57434.9331269941,53097.7627943494
BTC,2021-05-02,57677.9752218988,57741.0209101257,58511.2560485114,57062.7000705128
BTC,2021-05-03,56427.0431250152,57824.3001866402,57925.7415674161,56123.0395077865
BTC,2021-05-04,57255.3068375553,56639.4397864873,59001.3596421217,56508.2404487566
BTC,2021-05-05,53658.8431208163,57218.8053294413,57246.8911912062,53613.5952176663
BTC,2021-05-06,57252.7021845011,53270.2291184826,57977.6134230368,52987.1586596765
BTC,2021-05-07,56583.8498791665,57459.0521750001,58368.6820919958,55330.7278628212
BTC,2021-05-08,57107.1206718864,56439.1333994272,58724.1107779691,55320.9581179986
BTC,2021-05-09,58788.2096789273,57419.1478883675,59575.4631145794,57028.4980485871
BTC,2021-05-10,58102.1914262342,58966.9150095429,59249.141676133,56494.9153343839
BTC,2021-05-11,55715.5466512869,58308.3180483295,59560.0254591057,53774.6282425192
BTC,2021-05-12,56573.5554719043,55899.7529711018,56956.075029342,54571.6932097661
BTC,2021-05-13,52147.8211869823,56767.7110629927,58036.5097771205,51625.5478489667
BTC,2021-05-14,49764.1320815975,49596.7788914698,51448.7985760232,46294.7201795113
BTC,2021-05-15,50032.6931367648,49717.3543531654,51578.3125446899,48944.3465360214
BTC,2021-05-16,47885.6252547166,49926.035067459,50690.8029495356,47005.1022924768
BTC,2021-05-17,42520.0, , , 
